film_id,title,inventory_id
937,"VARSITY TRIP",4301
864,"SUNDANCE INVASION",3966
536,"LOVELY JINGLE",2455
676,"PHILADELPHIA WIFE",3075
775,"SEATTLE EXPECATIONS",3547
819,"SONG HEDWIG",3746
253,"DRIFTER COMMANDMENTS",1146
385,"GROUNDHOG UNCUT",1775
116,"CANDIDATE PERDITION",526
873,"SWEETHEARTS SUSPECTS",4007
598,"MOSQUITO ARMAGEDDON",2727
50,"BAKED CLEOPATRA",224
146,"CHITTY LOCK",670
812,"SMOKING BARBARELLA",3715
462,"INSIDER ARIZONA",2136
681,"PIRATES ROXANNE",3100
1,"ACADEMY DINOSAUR",6
870,"SWARM GOLD",3998
510,"LAWLESS VISION",2346
530,"LORD ARIZONA",2428
467,"INTRIGUE WORST",2158
439,"HUNCHBACK IMPOSSIBLE",2021
945,"VIRGINIAN PLUTO",4334
823,"SOUTH WAIT",3763
813,"SMOOCHY CONTROL",3718
574,"MIDNIGHT WESTWARD",2618
326,"FLYING HOOK",1489
476,"JASON TRAP",2199
506,"LADY STAGE",2334
233,"DISCIPLE MOTHER",1042
273,"EFFECT GLADIATOR",1231
53,"BANG KWAI",236
586,"MOCKINGBIRD HOLLYWOOD",2670
603,"MOVIE SHAKESPEARE",2752
638,"OPERATION OPERATION",2902
914,"TROUBLE DATE",4202
464,"INTENTIONS EMPIRE",2144
155,"CLEOPATRA DEVIL",713
391,"HALF OUTFIELD",1799
936,"VANISHING ROCKY",4296
229,"DEVIL DESIRE",1024
496,"KICK SAVANNAH",2291
990,"WORLD LEATHERNECKS",4537
301,"FAMILY SWEET",1369
133,"CHAMBER ITALIAN",612
301,"FAMILY SWEET",1367
391,"HALF OUTFIELD",1800
267,"EAGLES PANKY",1202
22,"AMISTAD MIDSUMMER",112
956,"WANDA CHAMBER",4375
264,"DWARFS ALTER",1186
789,"SHOCK CABIN",3608
91,"BOUND CHEAPER",418
205,"DANCES NONE",922
216,"DAY UNFAITHFUL",973
806,"SLEEPY JAPANESE",3688
201,"CYCLONE FAMILY",908
420,"HOLES BRANNIGAN",1932
270,"EARTH VISION",1219
13,"ALI FOREVER",70
702,"PULP BEVERLY",3192
604,"MULAN MOON",2754
730,"RIDGEMONT SUBMARINE",3320
804,"SLEEPING SUSPECTS",3672
733,"RIVER OUTLAW",3330
388,"GUNFIGHT MOON",1786
949,"VOLCANO TEXAS",4353
57,"BASIC EASY",258
647,"OUTFIELD MASSACRE",2946
5,"AFRICAN EGG",25
79,"BLADE POLISH",363
236,"DIVINE RESURRECTION",1061
4,"AFFAIR PREJUDICE",21
118,"CANYON STOCK",539
689,"POLLOCK DELIVERANCE",3139
841,"STAR OPERATION",3838
131,"CENTER DINOSAUR",604
648,"OUTLAW HANKY",2954
228,"DETECTIVE VISION",1020
451,"IGBY MAKER",2083
200,"CURTAIN VIDEOTAPE",902
592,"MONSTER SPARTACUS",2699
696,"PRIDE ALAMO",3167
600,"MOTIONS DETAILS",2737
281,"ENCINO ELF",1269
639,"OPPOSITE NECKLACE",2911
855,"STREAK RIDGEMONT",3917
219,"DEEP CRUSADE",981
205,"DANCES NONE",925
183,"CONVERSATION DOWNHILL",837
789,"SHOCK CABIN",3611
966,"WEDDING APOLLO",4416
977,"WINDOW SIDE",4472
